ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,defaultpaymentnextmonth
1,,2,2,1,,2,,-1,,,-2,3913,3102,689,0,8109.905591,0,0,689,,-1133.571449,0,0,0
2,118112.3792,,2,2,26,-1,,,0,,,2682,1725,2682,3272,,3261,0,1000,144472.4276,,,2000,1
3,,2,2,2,34,0,0,,0,0,,29239,14027,13559,,32783.91935,,,1500,92905.85672,3622.995244,1000,5000,0
4,51115.78744,2,,1,,0,0,,0,0,0,46990,48233,49291,28314,,29547,2000,,129223.1922,2528.235725,1069,1000,0
5,59915.09226,1,,,57,-1,,-1,,,,8617,5670,,20940,13875.40204,,2000,,36238.55108,11403.07183,,679,0
6,26002.35766,,,2,,0,,0,0,,,64400,57069,57608,19394,14007.20257,,,1815,-24765.6474,-257.2092729,1000,800,0
7,3611301,,,-2,-29,-10,-2,5,-3,-2,11,367965,,445007,542653,-22115350.91,,55000,,91061.76225,-211387.1953,13750,13770,1
8,92029.85761,,2,2,23,0,-1,-1,0,-1,-1,,380,601,221,-3476.212921,567,380,601,,,1687,1542,0
9,,,3,1,,,0,2,0,0,0,11285,14096,12108,12211,15406.01844,3719,3329,,,,,,0
10,,,,,35,-2,-2,-2,-2,-2,-1,0,0,0,0,,,0,,25788.16144,16090.74324,1122,0,0
11,202094.3428,,3,2,34,0,,2,0,,-1,,9787,5535,2513,18087.62375,3731,,12,-5821.92784,1801.138842,3738,66,0
12,223015.1992,2,1,,51,-1,-1,-1,-1,-1,,12261,,9966,8517,,,21818,9966,580679.4845,,0,3640,0
13,,2,2,,41,,0,-1,-1,0,,12137,6500,6500,6500,16351.27223,2870,1000,6500,,,2870,0,0
14,91327.27435,1,,2,30,1,2,2,,2,2,65802,67369,65701,66782,,36894,,0,115053.7443,4441.481521,1500,0,1
15,267330.7227,1,1,,29,,0,0,,0,0,70887,67060,63561,,52856.24789,55512,3000,3000,,,3000,3000,0
16,59852.83051,2,3,,,1,2,,,2,0,50614,29173,28116,,33147.21998,30211,,1500,-26644.76305,,1300,1100,0
17,24022.45324,1,,,24,0,0,2,2,0,2,,,17428,,,19104,3200,0,78389.33605,1436.558774,1650,0,1
18,,1,,,49,0,0,0,,0,-1,,246536,194663,,16378.36541,195599,,10000,15464.60653,19347.75926,195599,50000,0
19,346319.9947,2,1,1,49,1,-2,-2,-2,-2,-2,,0,0,,-3063.68537,0,0,0,-70055.11785,-1951.038808,0,,0
20,186762.3067,2,,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,3648.316362,0,0,0,25630.50404,,0,0,0
21,129848.9274,2,,2,39,0,0,0,0,0,-1,38358,27688,,20616,20895.83533,930,,1537,-14254.70041,,930,33764,0
22,96064.97232,,2,1,39,-1,,-1,,,-1,316,316,316,0,-5557.412567,316,316,316,-10640.08653,2761.600356,316,0,1
23,89606.21226,2,,2,26,2,0,0,2,0,2,41087,42445,45020,44006,60118.26704,46012,2007,3582,78822.70985,3120.891922,0,1820,0
